attribute,entity_id,name,row_num,sheet,value
,1,食物,4,建筑,-1
,1,黄金,5,建筑,0.2
,1,研究点,6,建筑,0.3
,1,人口,7,建筑,1
,2,食物,8,建筑,-1.5
,2,农民,9,建筑,1
,2,伐木工,10,建筑,1
,2,石工,11,建筑,1
,2,矿工,12,建筑,1
,2,黄金,13,建筑,0.5
,2,研究点,14,建筑,0.5
,2,人口,15,建筑,1
,3,黄金,16,建筑,1
,3,研究点,17,建筑,1
,3,人口,18,建筑,2
,4,人口,19,建筑,2
,4,研究点,20,建筑,0.6
,5,食物,24,建筑,-1.5
上限,5,研究点,25,建筑,250
,5,人口,26,建筑,2
,6,人口,31,建筑,1
,7,食物,35,建筑,-3
上限,7,研究点,36,建筑,500
,7,人口,37,建筑,4
,8,食物,41,建筑,-5
,8,人口,42,建筑,5
,9,商人,46,建筑,1
,9,教授,47,建筑,1
,9,供应商,48,建筑,1
,9,研究点,49,建筑,6
,9,黄金,50,建筑,3
,9,补给,51,建筑,0.5
上限,9,研究点,52,建筑,8000
上限,9,黄金,53,建筑,5000
上限,9,补给,54,建筑,3000
,9,人口,55,建筑,4
,10,农民,56,建筑,1
,10,食物,57,建筑,1
食物,10,农民,58,建筑,0.02
上限,10,食物,59,建筑,500
,10,人口,60,建筑,2
,11,食物,63,建筑,-2
,11,研究点,64,建筑,0.01
,11,黄金,65,建筑,0.01
上限,11,研究点,66,建筑,1000
上限,11,黄金,67,建筑,1000
,11,人口,68,建筑,3
,12,农民,69,建筑,1
食物,12,农民,70,建筑,0.01
上限,12,食物,71,建筑,240
,13,食物,72,建筑,0.2
,13,食物,73,建筑,0.01
上限,13,食物,74,建筑,200
,14,伐木工,76,建筑,1
木材,14,伐木工,77,建筑,0.01
上限,14,木材,78,建筑,100
,15,木材,80,建筑,0.7
,15,木材,81,建筑,0.01
上限,15,木材,82,建筑,750
,16,木材,84,建筑,2
,17,石工,88,建筑,1
石头,17,石工,89,建筑,0.01
上限,17,石头,90,建筑,100
,18,石头,92,建筑,0.5
,18,石头,93,建筑,0.01
上限,18,石头,94,建筑,750
,19,矿工,96,建筑,1
铜,19,矿工,97,建筑,0.01
铁,19,矿工,98,建筑,0.01
上限,19,铜,99,建筑,100
上限,19,铁,100,建筑,100
,20,木材,101,建筑,5
,20,石头,102,建筑,5
,20,铜,103,建筑,2
,20,铁,104,建筑,2
,20,工具,105,建筑,1
上限,20,木材,106,建筑,25000
上限,20,石头,107,建筑,25000
上限,20,铜,108,建筑,15000
上限,20,铁,109,建筑,15000
上限,20,工具,110,建筑,15000
,21,饲育员,111,建筑,1
食物,21,农民,112,建筑,0.02
上限,21,奶牛,113,建筑,80
上限,21,马,114,建筑,40
,22,伐木工,115,建筑,1
,22,石工,116,建筑,1
木材,22,伐木工,117,建筑,0.02
石头,22,石工,118,建筑,0.02
上限,22,信念,119,建筑,400
,22,人口,120,建筑,1
,23,奶牛,121,建筑,0.3
,23,马,122,建筑,0.2
食物,23,农民,123,建筑,0.03
上限,23,奶牛,124,建筑,120
上限,23,马,125,建筑,80
,24,农民,126,建筑,1
食物,24,农民,127,建筑,0.03
奶牛,24,饲育员,128,建筑,0.03
马,24,饲育员,129,建筑,0.03
上限,24,食物,130,建筑,250
上限,24,奶牛,131,建筑,100
上限,24,马,132,建筑,50
,25,矿工,133,建筑,1
铜,25,矿工,134,建筑,0.03
铁,25,矿工,135,建筑,0.03
工具,25,工匠,136,建筑,0.03
上限,25,铜,137,建筑,250
上限,25,铁,138,建筑,250
上限,25,工具,139,建筑,250
,26,工具,140,建筑,1.2
,26,铜,141,建筑,1.2
,26,铁,142,建筑,0.5
上限,26,铜,143,建筑,500
上限,26,铁,144,建筑,500
上限,26,工具,145,建筑,500
,27,木匠,148,建筑,1
原料,27,木匠,149,建筑,0.02
上限,27,原料,150,建筑,150
,28,供应商,154,建筑,1
补给,28,供应商,155,建筑,0.02
上限,28,补给,156,建筑,100
,29,炼钢工人,158,建筑,1
钢,29,炼钢工人,159,建筑,0.02
