entity_id,metadata,name,program_id,row_num,sheet
1,"{'类别': '生活区域', '地点': '城市', '时代': '1'}",普通房屋,,4,建筑
2,"{'类别': '生活区域', '地点': '城市', '时代': '100'}",工人之家,,8,建筑
3,"{'类别': '生活区域', '地点': '城市', '时代': '100', '建筑上限': '1'}",纪念碑,,16,建筑
4,"{'类别': '生活区域', '地点': '城市', '时代': '100'}",亡者大厅,,19,建筑
5,"{'类别': '生活区域', '地点': '城市', '时代': '1'}",市政厅,,24,建筑
6,"{'类别': '生活区域', '地点': '城市', '时代': '13'}",娱乐区域,,31,建筑
7,"{'类别': '生活区域', '地点': '城市', '时代': '2'}",宅邸,,35,建筑
8,"{'类别': '生活区域', '地点': '城市', '时代': '3'}",住宅区,,41,建筑
9,"{'类别': '生活区域', '地点': '城市', '时代': '100'}",内政部,,46,建筑
10,"{'类别': '生活区域', '地点': '城市', '时代': '4'}",伊甸园,,56,建筑
11,"{'类别': '生活区域', '地点': '城市', '时代': '5'}",发展部,,63,建筑
12,"{'类别': '生产与制造', '地点': '城市', '时代': '1'}",农场,,69,建筑
13,"{'类别': '生产与制造', '地点': '城市', '时代': '100'}",粮仓,,72,建筑
14,"{'类别': '生产与制造', '地点': '城市', '时代': '1'}",伐木工营地,,76,建筑
15,"{'类别': '生产与制造', '地点': '城市', '时代': '100'}",锯木厂,,80,建筑
16,"{'类别': '生产与制造', '地点': '城市', '时代': '13'}",幸运树林,,84,建筑
17,"{'类别': '生产与制造', '地点': '城市', '时代': '1'}",采石场,,88,建筑
18,"{'类别': '生产与制造', '地点': '城市', '时代': '100'}",石匠坊,,92,建筑
19,"{'类别': '生产与制造', '地点': '城市', '时代': '1'}",矿井,,96,建筑
20,"{'类别': '生产与制造', '地点': '城市', '时代': '100'}",巨型工作区,,101,建筑
21,"{'类别': '生产与制造', '地点': '城市', '时代': '1'}",马厩,,111,建筑
22,"{'类别': '生产与制造', '地点': '城市', '时代': '1'}",圣谷,,115,建筑
23,"{'类别': '生产与制造', '地点': '城市', '时代': '100'}",亡者兽群,,121,建筑
24,"{'类别': '生产与制造', '地点': '城市', '时代': '2'}",封地,,126,建筑
25,"{'类别': '生产与制造', '地点': '城市', '时代': '2'}",铸造厂,,133,建筑
26,"{'类别': '生产与制造', '地点': '城市', '时代': '100'}",诸神的机器,,140,建筑
27,"{'类别': '生产与制造', '地点': '城市', '时代': '2'}",木匠工坊,,148,建筑
28,"{'类别': '生产与制造', '地点': '城市', '时代': '2'}",食品杂货店,,154,建筑
29,"{'类别': '生产与制造', '地点': '城市', '时代': '2'}",钢铁厂,,158,建筑
30,"{'类别': '生产与制造', '地点': '城市', '时代': '100'}",工匠公会,,162,建筑
31,"{'类别': '生产与制造', '地点': '城市', '时代': '3'}",炼金实验室,,167,建筑
32,"{'类别': '生产与制造', '地点': '城市', '时代': '3'}",建筑工区域,,172,建筑
33,"{'类别': '生产与制造', '地点': '城市', '时代': '4'}",钠红石精炼厂,,178,建筑
34,"{'类别': '生产与制造', '地点': '城市', '时代': '4'}",工业厂房,,183,建筑
35,"{'类别': '生产与制造', '地点': '城市', '时代': '5'}",工厂,,188,建筑
36,"{'类别': '知识区域', '地点': '城市', '时代': '1'}",学校,,194,建筑
37,"{'类别': '知识区域', '地点': '城市', '时代': '13'}",灵感大厅,,199,建筑
38,"{'类别': '知识区域', '地点': '城市', '时代': '100'}",智慧大厅,,203,建筑
39,"{'类别': '知识区域', '地点': '城市', '时代': '100'}",登攀者世界图书馆,,209,建筑
40,"{'类别': '知识区域', '地点': '城市', '时代': '1'}",法师学院,,217,建筑
41,"{'类别': '知识区域', '地点': '城市', '时代': '2'}",大学,,221,建筑
42,"{'类别': '知识区域', '地点': '城市', '时代': '2'}",考古挖掘场,,227,建筑
43,"{'类别': '知识区域', '地点': '城市', '时代': '2', '建筑上限': '1'}",阿塔玛雕像,,231,建筑
44,"{'类别': '知识区域', '地点': '城市', '时代': '2', '建筑上限': '1'}",菲里奥雕像,,235,建筑
45,"{'类别': '知识区域', '地点': '城市', '时代': '2', '建筑上限': '1'}",卢雷齐亚雕像,,239,建筑
46,"{'类别': '知识区域', '地点': '城市', '时代': '100', '建筑上限': '1'}",灵魂图书馆,,243,建筑
47,"{'类别': '知识区域', '地点': '城市', '时代': '100', '建筑上限': '8'}",书籍,,248,建筑
48,"{'类别': '知识区域', '地点': '城市', '时代': '100', '建筑上限': '8'}",灵魂,,251,建筑
49,"{'类别': '知识区域', '地点': '城市', '时代': '3'}",天文台,,254,建筑
50,"{'类别': '知识区域', '地点': '城市', '时代': '3'}",魔法高中,,259,建筑
51,"{'类别': '知识区域', '地点': '城市', '时代': '4'}",研究工厂,,265,建筑
52,"{'类别': '知识区域', '地点': '城市', '时代': '4', '建筑上限': '5'}",岛屿前哨,,270,建筑
53,"{'类别': '军事与防御', '地点': '城市', '时代': '1', '建筑上限': '1'}",栅栏,,275,建筑
54,"{'类别': '军事与防御', '地点': '城市', '时代': '1', '建筑上限': '10'}",栅栏组件,,278,建筑
55,"{'类别': '军事与防御', '地点': '城市', '时代': '1', '建筑上限': '1'}",城墙,,281,建筑
56,"{'类别': '军事与防御', '地点': '城市', '时代': '1', '建筑上限': '15'}",城墙组件,,284,建筑
57,"{'类别': '军事与防御', '地点': '城市', '时代': '100', '建筑上限': '1'}",壁垒,,288,建筑
58,"{'类别': '军事与防御', '地点': '城市', '时代': '100', '建筑上限': '12'}",壁垒组件,,291,建筑
59,"{'类别': '军事与防御', '地点': '城市', '时代': '100', '建筑上限': '1'}",磐石巨墙,,296,建筑
60,"{'类别': '军事与防御', '地点': '城市', '时代': '100', '建筑上限': '12'}",磐石巨墙组件,,301,建筑
61,"{'类别': '军事与防御', '地点': '城市', '时代': '1'}",兵营,,306,建筑
62,"{'类别': '军事与防御', '地点': '城市', '时代': '13'}",地下隧道,,312,建筑
63,"{'类别': '军事与防御', '地点': '城市', '时代': '100', '建筑上限': '8'}",新兵训练营,,316,建筑
64,"{'类别': '军事与防御', '地点': '城市', '时代': '100'}",城堡民兵,,321,建筑
65,"{'类别': '军事与防御', '地点': '城市', '时代': '2', '建筑上限': '5'}",新兵训练中心,,327,建筑
