entity_id,goal,match_aliases,name,program_id,sheet
97,stage_progress,['法力深井'],法力深井,,建筑
98,stage_progress,['法力深井'],法力深井组件,,建筑
549,prestige,['转生'],到达1次里程碑,1_prestige,成就
550,prestige,['转生'],到达5次里程碑,5_prestige,成就
551,prestige,['转生'],到达15次里程碑,15_prestige,成就
552,prestige,['转生'],到达30次里程碑,30_prestige,成就
553,prestige,['转生'],到达60次里程碑,60_prestige,成就
554,prestige,['转生'],到达120次里程碑,120_prestige,成就
555,prestige,['转生'],到达1次超里程碑,1_ng_reset,成就
556,prestige,['转生'],到达5次超里程碑,5_ng_reset,成就
557,prestige,['转生'],到达10次超里程碑,10_ng_reset,成就
558,prestige,['转生'],到达20次超里程碑,20_ng_reset,成就
559,prestige,['转生'],到达40次超里程碑,40_ng_reset,成就
560,prestige,['转生'],到达80次超里程碑,80_ng_reset,成就
561,annihilator,"['灭世', '灭世终焉', '发射灭世终焉']",核爆末日,1_annihilator,成就
562,annihilator,"['灭世', '灭世终焉', '发射灭世终焉']",黑洞之力,5_annihilator,成就
563,annihilator,"['灭世', '灭世终焉', '发射灭世终焉']",深渊炼狱,15_annihilator,成就
564,annihilator,"['灭世', '灭世终焉', '发射灭世终焉']",星辰伟力,30_annihilator,成就
639,moonlight,"['月明', '月明之夜']",粉碎地精,army_of_goblin,成就
640,moonlight,"['月明', '月明之夜']",在容易难度下粉碎地精！,army_of_goblin_dif_99,成就
641,moonlight,"['月明', '月明之夜']",在困难难度下粉碎地精！,army_of_goblin_dif_1,成就
642,moonlight,"['月明', '月明之夜']",在无望难度下粉碎地精！,army_of_goblin_dif_2,成就
643,moonlight,"['月明', '月明之夜']",在神明难度下粉碎地精！,army_of_goblin_dif_3,成就
649,druid,['德鲁伊'],信任德鲁伊,fallen_angel_army_1,成就
650,druid,['德鲁伊'],在容易难度下信任德鲁伊！,fallen_angel_army_1_dif_99,成就
651,druid,['德鲁伊'],在困难难度下信任德鲁伊！,fallen_angel_army_1_dif_1,成就
652,druid,['德鲁伊'],在无望难度下信任德鲁伊！,fallen_angel_army_1_dif_2,成就
653,druid,['德鲁伊'],在神明难度下信任德鲁伊！,fallen_angel_army_1_dif_3,成就
677,stage_progress,['航海'],航海,harbor_district,成就
680,stage_progress,['法力深井'],充满法力的深洞,mana_pit,成就
787,prestige,['转生'],向着经济上的转生,5_bank,成就
902,prestige,"['传承', '转生']",每次转生时可以购买的传承,,传承
903,prestige,['传承'],远古宝库,ancient_treasury,传承
904,prestige,['传承'],强化斧头,enhanced_axes,传承
905,prestige,['传承'],占卜者,fortune_teller,传承
906,prestige,['传承'],灌溉技术,irrigation_techniques,传承
907,prestige,['传承'],著名石匠,renowned_stonemasons,传承
908,prestige,['传承'],资源上限,resource_cap,传承
909,prestige,['传承'],侍奉神明,service_gods,传承
910,prestige,['传承'],魅力,charism,传承
911,prestige,['传承'],自然的赠礼,gift_nature,传承
912,prestige,['传承'],店主和饲育员,shopkeepers_and_breeders,传承
913,prestige,['传承'],库存资源,stock_resources,传承
914,prestige,['传承'],强壮的工人,strong_workers,传承
915,prestige,['传承'],武器强化,powered_weapons,传承
916,prestige,['传承'],聪明的村民,clever_villagers,传承
917,prestige,['传承'],聚宝盆,deep_pockets,传承
918,prestige,['传承'],强化镐子,enhanced_pickaxes,传承
919,prestige,['传承'],增员,free_hands,传承
920,prestige,['传承'],造物主的赠礼,gift_creators,传承
921,prestige,['传承'],资源上限 II,resource_cap_II,传承
922,prestige,['传承'],侍奉神明 II,service_gods_II,传承
923,prestige,['传承'],占卜师,soothsayer,传承
924,prestige,['传承'],尖刺与陷坑,spikes_and_pits,传承
925,prestige,['传承'],强化信念,strengthening_faith,传承
926,prestige,['传承'],泽尼克斯的使魔,zenix_familiar_l,传承
927,prestige,['传承'],强化斧头 II,enhanced_axes_II,传承
928,prestige,['传承'],灌溉技术 II,irrigation_techniques_II,传承
929,prestige,['传承'],著名石匠 II,renowned_stonemasons_II,传承
930,prestige,['传承'],远古宝库 II,ancient_treasury_II,传承
931,prestige,['传承'],远古保险库,ancient_vault,传承
932,prestige,['传承'],众志成军‌,army_of_men,传承
933,prestige,['传承'],库存资源 II,stock_resources_II,传承
934,prestige,['传承'],工匠,craftmen,传承
935,prestige,['传承'],武器强化 II,powered_weapons_II,传承
936,prestige,['传承'],资源上限 III,resource_cap_III,传承
937,prestige,['传承'],持盾卫士,shieldbearer,传承
938,prestige,['传承'],店主和饲育员 II,shopkeepers_and_breeders_II,传承
939,prestige,['传承'],强壮的工人 II,strong_workers_II,传承
940,prestige,['传承'],代币佣兵,coin_mercenary,传承
941,prestige,['传承'],强化镐子 II,enhanced_pickaxes_II,传承
942,prestige,['传承'],粮食储存,grain_storage,传承
943,prestige,['传承'],马蹄铁传家宝,heirloom_horseshoes,传承
