amount,goal,goal_key,name,source_line,type
,月明,moonlight,住房,住房  琢石  陶器,research
,月明,moonlight,琢石,住房  琢石  陶器,research
,月明,moonlight,陶器,住房  琢石  陶器,research
,月明,moonlight,采矿,采矿  写作 青铜加工,research
,月明,moonlight,写作,采矿  写作 青铜加工,research
,月明,moonlight,青铜加工,采矿  写作 青铜加工,research
,月明,moonlight,宗教,宗教 铁加工 结束远古时代 封建时代 建筑学,research
,月明,moonlight,铁加工,宗教 铁加工 结束远古时代 封建时代 建筑学,research
,月明,moonlight,结束远古时代,宗教 铁加工 结束远古时代 封建时代 建筑学,research
,月明,moonlight,封建时代,宗教 铁加工 结束远古时代 封建时代 建筑学,research
,月明,moonlight,建筑学,宗教 铁加工 结束远古时代 封建时代 建筑学,research
,月明,moonlight,确定边界,确定边界 卡纳瓦先驱,research
,月明,moonlight,卡纳瓦先驱,确定边界 卡纳瓦先驱,research
,月明,moonlight,公会,（公会，工匠公会）或者（农业 存储 饲育 教育学 食物保存）,research
,月明,moonlight,工匠公会,（公会，工匠公会）或者（农业 存储 饲育 教育学 食物保存）,research
,月明,moonlight,农业,（公会，工匠公会）或者（农业 存储 饲育 教育学 食物保存）,research
,月明,moonlight,存储,（公会，工匠公会）或者（农业 存储 饲育 教育学 食物保存）,research
,月明,moonlight,饲育,（公会，工匠公会）或者（农业 存储 饲育 教育学 食物保存）,research
,月明,moonlight,教育学,（公会，工匠公会）或者（农业 存储 饲育 教育学 食物保存）,research
,月明,moonlight,食物保存,（公会，工匠公会）或者（农业 存储 饲育 教育学 食物保存）,research
15,月明,moonlight,普通房屋,15普通房屋,building
3,月明,moonlight,采石5工匠作坊,3采石5工匠作坊,building
1,月明,moonlight,工匠公会,（1工匠公会）或者（1大学5农场1木匠工坊1食品杂货店1马厩）,building
1,月明,moonlight,大学5农场1木匠工坊1食品杂货店1马厩,（1工匠公会）或者（1大学5农场1木匠工坊1食品杂货店1马厩）,building
4,月明,moonlight,守望者前哨,4守望者前哨,building
,月明,moonlight,最少只需0人口不需要工人之家，缺人可研究 奴役，产量不足自加建筑数量,最少只需0人口不需要工人之家，缺人可研究 奴役，产量不足自加建筑数量,note
,月明,moonlight,设置好的automation文件已发,设置好的automation文件已发,note
,德鲁伊,druid,住房,住房 陶器 写作 货币 封建时代 金属铸造 公会 科学理论 灾难 法力应用 生态学 神秘劫案,research
,德鲁伊,druid,陶器,住房 陶器 写作 货币 封建时代 金属铸造 公会 科学理论 灾难 法力应用 生态学 神秘劫案,research
,德鲁伊,druid,写作,住房 陶器 写作 货币 封建时代 金属铸造 公会 科学理论 灾难 法力应用 生态学 神秘劫案,research
,德鲁伊,druid,货币,住房 陶器 写作 货币 封建时代 金属铸造 公会 科学理论 灾难 法力应用 生态学 神秘劫案,research
,德鲁伊,druid,封建时代,住房 陶器 写作 货币 封建时代 金属铸造 公会 科学理论 灾难 法力应用 生态学 神秘劫案,research
,德鲁伊,druid,金属铸造,住房 陶器 写作 货币 封建时代 金属铸造 公会 科学理论 灾难 法力应用 生态学 神秘劫案,research
,德鲁伊,druid,公会,住房 陶器 写作 货币 封建时代 金属铸造 公会 科学理论 灾难 法力应用 生态学 神秘劫案,research
,德鲁伊,druid,科学理论,住房 陶器 写作 货币 封建时代 金属铸造 公会 科学理论 灾难 法力应用 生态学 神秘劫案,research
,德鲁伊,druid,灾难,住房 陶器 写作 货币 封建时代 金属铸造 公会 科学理论 灾难 法力应用 生态学 神秘劫案,research
,德鲁伊,druid,法力应用,住房 陶器 写作 货币 封建时代 金属铸造 公会 科学理论 灾难 法力应用 生态学 神秘劫案,research
,德鲁伊,druid,生态学,住房 陶器 写作 货币 封建时代 金属铸造 公会 科学理论 灾难 法力应用 生态学 神秘劫案,research
,德鲁伊,druid,神秘劫案,住房 陶器 写作 货币 封建时代 金属铸造 公会 科学理论 灾难 法力应用 生态学 神秘劫案,research
,德鲁伊,druid,青铜加工,青铜加工 数学 宗教 建筑学 确定边界 银行业 骑士精神 化学 巨龙来袭 法力引擎 与自然沟通,research
,德鲁伊,druid,数学,青铜加工 数学 宗教 建筑学 确定边界 银行业 骑士精神 化学 巨龙来袭 法力引擎 与自然沟通,research
,德鲁伊,druid,宗教,青铜加工 数学 宗教 建筑学 确定边界 银行业 骑士精神 化学 巨龙来袭 法力引擎 与自然沟通,research
,德鲁伊,druid,建筑学,青铜加工 数学 宗教 建筑学 确定边界 银行业 骑士精神 化学 巨龙来袭 法力引擎 与自然沟通,research
,德鲁伊,druid,确定边界,青铜加工 数学 宗教 建筑学 确定边界 银行业 骑士精神 化学 巨龙来袭 法力引擎 与自然沟通,research
,德鲁伊,druid,银行业,青铜加工 数学 宗教 建筑学 确定边界 银行业 骑士精神 化学 巨龙来袭 法力引擎 与自然沟通,research
,德鲁伊,druid,骑士精神,青铜加工 数学 宗教 建筑学 确定边界 银行业 骑士精神 化学 巨龙来袭 法力引擎 与自然沟通,research
,德鲁伊,druid,化学,青铜加工 数学 宗教 建筑学 确定边界 银行业 骑士精神 化学 巨龙来袭 法力引擎 与自然沟通,research
,德鲁伊,druid,巨龙来袭,青铜加工 数学 宗教 建筑学 确定边界 银行业 骑士精神 化学 巨龙来袭 法力引擎 与自然沟通,research
,德鲁伊,druid,法力引擎,青铜加工 数学 宗教 建筑学 确定边界 银行业 骑士精神 化学 巨龙来袭 法力引擎 与自然沟通,research
,德鲁伊,druid,与自然沟通,青铜加工 数学 宗教 建筑学 确定边界 银行业 骑士精神 化学 巨龙来袭 法力引擎 与自然沟通,research
,德鲁伊,druid,琢石,琢石 采矿 铁加工 教育学 卡纳瓦先驱 锻钢 集市与市场 印刷机 圣职者军团 机械化 孤独的德鲁伊,research
