amount,entity_id,growth,name,row_num,sheet,type
15,1,1.3,木材,4,建筑,资源
10,1,1.3,石头,5,建筑,资源
1,1,,住房,6,建筑,研究
45,2,1.3,木材,8,建筑,资源
30,2,1.3,石头,9,建筑,资源
1,2,,工人之家,10,建筑,研究
10,3,,黄金,16,建筑,资源
10,3,,石头,17,建筑,资源
1,3,,纪念碑,18,建筑,研究
1000,4,2,石头,19,建筑,资源
500,4,2,工具,20,建筑,资源
170,4,1.5,奶牛,21,建筑,资源
1,4,,奴役,22,建筑,研究
1,4,,亡者大厅,23,建筑,传承
1200,5,1.3,黄金,24,建筑,资源
1000,5,1.3,木材,25,建筑,资源
750,5,1.3,石头,26,建筑,资源
400,5,1.3,铜,27,建筑,资源
400,5,1.3,铁,28,建筑,资源
150,5,1.3,工具,29,建筑,资源
1,5,,市政管理,30,建筑,研究
500,6,1.5,木材,31,建筑,资源
500,6,1.5,石头,32,建筑,资源
1,6,,幸运石,33,建筑,资源
1,6,,娱乐区域,34,建筑,祈祷
4000,7,1.3,黄金,35,建筑,资源
2000,7,1.3,木材,36,建筑,资源
1000,7,1.3,石头,37,建筑,资源
200,7,1.3,工具,38,建筑,资源
100,7,1.3,原料,39,建筑,资源
1,7,,建筑学,40,建筑,研究
12000,8,1.3,黄金,41,建筑,资源
2000,8,1.3,工具,42,建筑,资源
1000,8,1.3,原料,43,建筑,资源
600,8,1.3,补给,44,建筑,资源
1,8,,经济学,45,建筑,研究
8000,9,1.2,食物,46,建筑,资源
8000,9,1.2,石头,47,建筑,资源
4000,9,1.2,原料,48,建筑,资源
4000,9,1.2,补给,49,建筑,资源
1,9,,内政部,50,建筑,研究
2000,10,1.2,食物,56,建筑,资源
2000,10,1.2,信念,57,建筑,资源
2000,10,1.2,法力,58,建筑,资源
800,10,1.2,补给,59,建筑,资源
600,10,1.1,奶牛,60,建筑,资源
500,10,1.2,钠红石,61,建筑,资源
1,10,,生态学,62,建筑,研究
25000,11,1.2,黄金,63,建筑,资源
10000,11,1.2,工具,64,建筑,资源
10000,11,1.2,原料,65,建筑,资源
1,11,,中央集权,66,建筑,研究
10,12,1.4,黄金,69,建筑,资源
24,12,1.4,木材,70,建筑,资源
1,12,,农业,71,建筑,研究
150,13,1.3,黄金,72,建筑,资源
150,13,1.3,木材,73,建筑,资源
100,13,1.3,工具,74,建筑,资源
1,13,,粮食过剩,75,建筑,研究
25,14,1.4,黄金,76,建筑,资源
18,14,1.4,木材,77,建筑,资源
5,14,1.4,石头,78,建筑,资源
1,14,,砍伐木材,79,建筑,研究
180,15,1.3,黄金,80,建筑,资源
180,15,1.3,木材,81,建筑,资源
140,15,1.3,工具,82,建筑,资源
1,15,,木锯,83,建筑,研究
300,16,1.5,木材,84,建筑,资源
300,16,1.5,石头,85,建筑,资源
1,16,,幸运石,86,建筑,资源
1,16,,幸运树林,87,建筑,祈祷
32,17,1.4,黄金,88,建筑,资源
24,17,1.4,木材,89,建筑,资源
8,17,1.4,石头,90,建筑,资源
1,17,,琢石,91,建筑,研究
180,18,1.3,黄金,92,建筑,资源
180,18,1.3,石头,93,建筑,资源
140,18,1.3,工具,94,建筑,资源
1,18,,石材加工,95,建筑,研究
160,19,1.4,黄金,96,建筑,资源
140,19,1.4,木材,97,建筑,资源
80,19,1.4,石头,98,建筑,资源
1,19,,采矿,99,建筑,研究
1500,20,1.5,黄金,101,建筑,资源
